,date,Demand,Peak_Load_MW,Peak_Load_H,icon_06,temp_06,templow_06,baro_06,wind_06,wd_06,hum_06,icon_12,temp_12,templow_12,baro_12,wind_12,wd_12,hum_12,icon_18,temp_18,templow_18,baro_18,wind_18,wd_18,hum_18,icon_00,temp_00,templow_00,baro_00,wind_00,wd_00,hum_00,name
0,2014-01-01,533.0,30,22,14,15.0,12.0,1023,8,240,68,2.0,18.0,15.0,1022.0,13.0,280.0,56.0,14.0,16.0,15.0,1022.0,12.0,240.0,65.0,36.0,16.0,15.0,1022.0,12.0,240.0,65.0,16
1,2014-01-02,584.0,31,22,17,13.0,13.0,1021,6,260,70,7.0,19.0,18.0,1021.0,6.0,80.0,40.0,17.0,17.0,16.0,1022.0,3.0,280.0,46.0,36.0,16.0,15.0,1022.0,12.0,240.0,65.0,0
2,2014-01-03,570.0,30,22,2,16.0,16.0,1024,3,280,67,2.0,22.0,20.0,1023.0,8.0,300.0,50.0,14.0,17.0,15.0,1023.0,11.0,250.0,74.0,36.0,17.0,16.0,1022.0,3.0,280.0,46.0,0
3,2014-01-04,545.0,29,22,17,16.0,14.0,1022,3,230,78,2.0,21.0,20.0,1022.0,15.0,230.0,54.0,17.0,18.0,17.0,1023.0,20.0,270.0,66.0,36.0,17.0,15.0,1023.0,11.0,250.0,74.0,0
4,2014-01-05,520.0,27,22,14,15.0,15.0,1026,18,230,78,2.0,18.0,17.0,1024.0,20.0,270.0,65.0,14.0,16.0,14.0,1024.0,10.0,240.0,62.0,36.0,18.0,17.0,1023.0,20.0,270.0,66.0,0
5,2014-01-06,512.0,29,22,13,13.0,11.0,1021,10,240,62,1.0,19.0,19.0,1020.0,4.0,60.0,48.0,13.0,16.0,13.0,1021.0,6.0,260.0,60.0,36.0,16.0,14.0,1024.0,10.0,240.0,62.0,8
6,2014-01-07,581.0,32,22,14,13.0,10.0,1021,2,230,61,6.0,18.0,17.0,1021.0,4.0,320.0,59.0,14.0,14.0,12.0,1022.0,4.0,320.0,82.0,36.0,16.0,13.0,1021.0,6.0,260.0,60.0,0
7,2014-01-08,598.0,33,21,14,10.0,10.0,1022,4,320,95,1.0,16.0,15.0,1021.0,6.0,50.0,78.0,14.0,14.0,14.0,1021.0,3.0,90.0,86.0,36.0,14.0,12.0,1022.0,4.0,320.0,82.0,0
8,2014-01-09,600.0,33,21,14,14.0,13.0,1020,3,90,79,6.0,15.0,14.0,1018.0,3.0,40.0,78.0,14.0,14.0,14.0,1018.0,3.0,40.0,82.0,36.0,14.0,14.0,1021.0,3.0,90.0,86.0,0
9,2014-01-10,601.0,31,20,14,15.0,14.0,1014,3,40,91,7.0,16.0,15.0,1014.0,4.0,60.0,90.0,14.0,15.0,15.0,1014.0,6.0,70.0,91.0,36.0,14.0,14.0,1018.0,3.0,40.0,82.0,0
10,2014-01-11,565.0,30,21,17,15.0,14.0,1018,10,250,82,9.0,16.0,16.0,1019.0,4.0,30.0,84.0,14.0,15.0,13.0,1020.0,6.0,280.0,86.0,36.0,15.0,15.0,1014.0,6.0,70.0,91.0,0
11,2014-01-12,532.0,31,22,13,13.0,11.0,1025,6,280,88,2.0,19.0,18.0,1024.0,7.0,120.0,60.0,13.0,15.0,13.0,1025.0,7.0,120.0,79.0,36.0,15.0,13.0,1020.0,6.0,280.0,86.0,0
12,2014-01-13,614.0,34,21,17,13.0,13.0,1024,3,300,74,7.0,17.0,16.0,1022.0,16.0,240.0,66.0,34.0,13.0,13.0,1022.0,27.0,230.0,83.0,36.0,15.0,13.0,1025.0,7.0,120.0,79.0,0
13,2014-01-14,600.0,33,22,36,13.0,13.0,1022,27,230,83,6.0,16.0,16.0,1021.0,28.0,270.0,58.0,14.0,15.0,15.0,1020.0,36.0,260.0,68.0,36.0,13.0,13.0,1022.0,27.0,230.0,83.0,0
14,2014-01-15,587.0,32,21,18,15.0,15.0,1020,9,270,85,7.0,18.0,17.0,1018.0,9.0,250.0,72.0,14.0,15.0,14.0,1017.0,10.0,270.0,85.0,36.0,15.0,15.0,1020.0,36.0,260.0,68.0,0
15,2014-01-16,596.0,33,21,17,14.0,13.0,1015,10,270,82,7.0,18.0,18.0,1014.0,10.0,270.0,64.0,34.0,15.0,14.0,1014.0,6.0,270.0,88.0,36.0,15.0,14.0,1017.0,10.0,270.0,85.0,0
16,2014-01-17,589.0,31,20,17,13.0,12.0,1011,6,270,72,2.0,16.0,16.0,1007.0,11.0,130.0,72.0,17.0,15.0,14.0,1004.0,4.0,190.0,82.0,36.0,15.0,14.0,1014.0,6.0,270.0,88.0,0
17,2014-01-18,556.0,31,22,17,15.0,15.0,1000,19,220,49,6.0,17.0,14.0,1000.0,19.0,210.0,57.0,17.0,14.0,12.0,1003.0,15.0,250.0,60.0,36.0,15.0,14.0,1004.0,4.0,190.0,82.0,0
18,2014-01-19,546.0,31,22,17,14.0,13.0,996,44,180,62,2.0,15.0,15.0,1001.0,46.0,270.0,49.0,14.0,14.0,13.0,1010.0,39.0,280.0,58.0,36.0,14.0,12.0,1003.0,15.0,250.0,60.0,0
19,2014-01-20,604.0,33,21,14,13.0,13.0,1018,19,270,58,6.0,15.0,14.0,1020.0,32.0,270.0,54.0,14.0,13.0,12.0,1020.0,16.0,260.0,70.0,36.0,14.0,13.0,1010.0,39.0,280.0,58.0,0
20,2014-01-21,600.0,33,22,14,13.0,11.0,1022,14,230,63,2.0,15.0,15.0,1020.0,22.0,270.0,55.0,14.0,13.0,13.0,1020.0,14.0,270.0,72.0,36.0,13.0,12.0,1020.0,16.0,260.0,70.0,0
21,2014-01-22,618.0,34,21,34,11.0,11.0,1016,14,270,88,7.0,15.0,15.0,1016.0,19.0,250.0,70.0,14.0,15.0,14.0,1016.0,20.0,270.0,78.0,36.0,13.0,13.0,1020.0,14.0,270.0,72.0,0
22,2014-01-23,612.0,33,22,17,14.0,13.0,1019,14,290,80,6.0,14.0,13.0,1022.0,15.0,270.0,70.0,14.0,12.0,11.0,1024.0,15.0,270.0,76.0,36.0,15.0,14.0,1016.0,20.0,270.0,78.0,0
23,2014-01-24,603.0,32,21,13,14.0,12.0,1028,6,250,74,2.0,17.0,16.0,1027.0,14.0,270.0,62.0,13.0,14.0,13.0,1025.0,9.0,250.0,68.0,36.0,12.0,11.0,1024.0,15.0,270.0,76.0,0
24,2014-01-25,554.0,30,22,14,16.0,14.0,1023,32,260,52,2.0,19.0,18.0,1023.0,37.0,260.0,54.0,14.0,16.0,15.0,1023.0,26.0,270.0,79.0,36.0,14.0,13.0,1025.0,9.0,250.0,68.0,0
25,2014-01-26,527.0,30,22,13,16.0,15.0,1026,16,240,68,1.0,19.0,18.0,1024.0,18.0,270.0,60.0,13.0,16.0,15.0,1022.0,15.0,240.0,68.0,36.0,16.0,15.0,1023.0,26.0,270.0,79.0,0
26,2014-01-27,598.0,32,21,13,16.0,16.0,1018,34,260,76,6.0,18.0,17.0,1016.0,39.0,270.0,69.0,14.0,16.0,16.0,1015.0,31.0,260.0,73.0,36.0,16.0,15.0,1022.0,15.0,240.0,68.0,0
27,2014-01-28,603.0,33,21,14,14.0,13.0,1017,32,280,57,6.0,14.0,14.0,1016.0,25.0,270.0,58.0,14.0,14.0,14.0,1012.0,18.0,270.0,67.0,36.0,16.0,16.0,1015.0,31.0,260.0,73.0,0
28,2014-01-29,629.0,34,21,14,13.0,12.0,1004,11,290,76,7.0,13.0,12.0,1003.0,17.0,200.0,79.0,14.0,12.0,12.0,1005.0,32.0,270.0,64.0,36.0,14.0,14.0,1012.0,18.0,270.0,67.0,0
29,2014-01-30,604.0,33,22,14,13.0,12.0,1009,22,270,58,6.0,13.0,13.0,1010.0,29.0,280.0,64.0,14.0,13.0,13.0,1013.0,28.0,270.0,60.0,36.0,12.0,12.0,1005.0,32.0,270.0,64.0,0
30,2014-01-31,617.0,32,20,14,13.0,13.0,1014,32,270,69,7.0,15.0,14.0,1014.0,31.0,270.0,73.0,17.0,15.0,14.0,1015.0,23.0,270.0,84.0,36.0,13.0,13.0,1013.0,28.0,270.0,60.0,0
31,2014-02-01,570.0,30,22,17,15.0,15.0,1015,19,260,85,6.0,17.0,15.0,1015.0,25.0,260.0,80.0,14.0,15.0,14.0,1016.0,23.0,260.0,82.0,36.0,13.0,13.0,1013.0,28.0,270.0,60.0,0
32,2014-02-02,537.0,31,22,14,13.0,12.0,1020,20,250,64,2.0,15.0,15.0,1020.0,16.0,280.0,52.0,14.0,12.0,11.0,1019.0,10.0,250.0,64.0,36.0,15.0,14.0,1016.0,23.0,260.0,82.0,0
33,2014-02-03,603.0,33,22,14,13.0,7.0,1016,6,280,74,2.0,16.0,15.0,1016.0,8.0,240.0,58.0,34.0,14.0,13.0,1015.0,15.0,300.0,72.0,36.0,12.0,11.0,1019.0,10.0,250.0,64.0,0
34,2014-02-04,598.0,33,22,14,13.0,12.0,1020,7,270,72,2.0,16.0,16.0,1018.0,7.0,290.0,56.0,13.0,13.0,12.0,1018.0,10.0,240.0,62.0,36.0,14.0,13.0,1015.0,15.0,300.0,72.0,0
35,2014-02-05,591.0,32,21,13,15.0,11.0,1017,2,280,70,2.0,23.0,23.0,1017.0,15.0,250.0,35.0,36.0,23.0,23.0,1017.0,15.0,250.0,35.0,36.0,13.0,12.0,1018.0,10.0,240.0,62.0,0
36,2014-02-06,588.0,32,22,14,14.0,10.0,1018,15,250,80,1.0,19.0,17.0,1015.0,13.0,60.0,62.0,14.0,15.0,15.0,1016.0,11.0,290.0,83.0,36.0,23.0,23.0,1017.0,15.0,250.0,35.0,0
